Timing,Name_TeamA,FB_TeamA,PitP_TeamA,Name_TeamB,FB_TeamB,PitP_TeamB
Second Round,Poland,8,26,Argentina,20,60
Classification Round 17-32,China,8,30,Nigeria,16,46
Classification Round 17-32,Iran,14,44,Philippines,8,32
Second Round,Spain,7,26,Serbia,17,32
Classification Round 17-32,Japan,18,32,Montenegro,6,36
Second Round,Dominican Republic,5,24,Lithuania,11,50
Classification Round 17-32,Jordan,14,38,Senegal,17,36
Second Round,Czech Republic,10,22,Greece,17,46
Classification Round 17-32,Turkey,13,38,New Zealand,16,56
Second Round,France,18,46,Australia,7,38
Classification Round 17-32,Germany,4,26,Canada,6,32
Second Round,USA,16,42,Brazil,12,38
Quarter-Finals,Argentina,11,36,Serbia,6,36
Quarter-Finals,Spain,7,34,Poland,2,36
Quarter-Finals,USA,9,34,France,4,32
Quarter-Finals,Australia,4,36,Czech Republic,6,44
Class. Games 5-8,Serbia,4,28,USA,6,24
Class. Games 5-8,Poland,0,36,Czech Republic,15,40
Semi-Finals,Spain,7,36,Australia,5,44
Semi-Finals,Argentina,13,34,France,2,26
Class. Games 7-8,USA,8,30,Poland,2,40
Class. Games 5-6,Serbia,9,40,Czech Republic,4,30
3rd Place Game,France,5,26,Australia,0,36
Final,Argentina,18,30,Spain,2,44
First Round,Serbia,17,46,Angola,6,26
First Round,Venezuela,17,30,Poland,9,32
First Round,Nigeria,17,32,Russia,6,30
First Round,Puerto Rico,21,32,Iran,10,28
First Round,Italy,16,38,Philippines,12,42
First Round,China,12,56,Cote d'Ivoire,2,18
First Round,Korea,4,18,Argentina,8,28
First Round,Tunisia,1,30,Spain,16,34
First Round,Australia,9,50,Canada,14,32
First Round,Brazil,12,32,New Zealand,19,36
First Round,Japan,11,18,Turkey,15,54
First Round,Jordan,6,48,Dominican Republic,5,30
First Round,Lithuania,14,48,Senegal,10,30
First Round,Montenegro,6,28,Greece,13,48
First Round,USA,15,44,Czech Republic,0,28
First Round,Germany,9,28,France,2,26
First Round,Angola,4,42,Italy,14,38
First Round,Cote d'Ivoire,4,24,Venezuela,6,32
First Round,Argentina,9,32,Nigeria,15,34
First Round,Iran,4,36,Tunisia,14,24
First Round,Philippines,8,38,Serbia,20,70
First Round,Poland,5,36,China,2,28
First Round,Russia,19,46,Korea,7,22
First Round,Spain,10,40,Puerto Rico,9,24
First Round,Senegal,8,34,Australia,10,36
First Round,New Zealand,10,30,Montenegro,9,24
First Round,Czech Republic,16,44,Japan,4,42
First Round,Dominican Republic,3,40,Germany,0,34
First Round,Canada,7,28,Lithuania,2,52
First Round,Greece,11,28,Brazil,9,46
First Round,Turkey,14,38,USA,12,20
First Round,France,9,32,Jordan,6,22
First Round,Philippines,18,34,Angola,7,36
First Round,Poland,11,36,Cote d'Ivoire,9,32
First Round,Nigeria,12,50,Korea,7,18
First Round,Tunisia,13,34,Puerto Rico,18,36
First Round,Serbia,11,32,Italy,5,14
First Round,China,4,22,Venezuela,5,26
First Round,Argentina,12,30,Russia,8,32
First Round,Iran,11,30,Spain,13,28
First Round,Senegal,7,18,Canada,11,16
First Round,Montenegro,2,26,Brazil,10,42
First Round,Czech Republic,14,48,Turkey,4,20
First Round,Jordan,4,30,Germany,14,40
First Round,Australia,11,34,Lithuania,7,46
First Round,New Zealand,27,46,Greece,17,36
First Round,Japan,11,26,USA,25,46
First Round,France,17,46,Dominican Republic,4,14
Second Round,Russia,5,28,Poland,6,20
Classification Round 17-32,Cote d'Ivoire,4,20,Nigeria,14,44
Classification Round 17-32,Iran,6,32,Angola,10,28
Second Round,Puerto Rico,8,16,Serbia,20,44
Second Round,Venezuela,4,30,Argentina,12,42
Classification Round 17-32,Korea,5,22,China,11,46
Classification Round 17-32,Philippines,7,32,Tunisia,12,40
Second Round,Italy,8,22,Spain,16,32
Classification Round 17-32,Japan,7,24,New Zealand,14,38
Second Round,Dominican Republic,14,38,Australia,5,40
Classification Round 17-32,Jordan,0,30,Canada,9,34
Second Round,Czech Republic,5,46,Brazil,7,28
Classification Round 17-32,Montenegro,6,26,Turkey,20,46
Second Round,Lithuania,0,30,France,8,34
Classification Round 17-32,Senegal,6,32,Germany,12,40
Second Round,Greece,9,24,USA,11,26
Second Round,Russia,6,22,Venezuela,9,28
Classification Round 17-32,Korea,13,34,Cote d'Ivoire,15,32
Classification Round 17-32,Angola,4,38,Tunisia,10,34
Second Round,Italy,12,38,Puerto Rico,30,50
Second Round,Argentina,20,60,Poland,8,26
Classification Round 17-32,Nigeria,16,46,China,8,30
Classification Round 17-32,Philippines,8,32,Iran,14,44
Second Round,Serbia,17,32,Spain,7,26
Classification Round 17-32,Montenegro,6,36,Japan,18,32
Second Round,Lithuania,11,50,Dominican Republic,5,24
Classification Round 17-32,Senegal,17,36,Jordan,14,38
Second Round,Greece,17,46,Czech Republic,10,22
Classification Round 17-32,New Zealand,16,56,Turkey,13,38
Second Round,Australia,7,38,France,18,46
Classification Round 17-32,Canada,6,32,Germany,4,26
Second Round,Brazil,12,38,USA,16,42
Quarter-Finals,Serbia,6,36,Argentina,11,36
Quarter-Finals,Poland,2,36,Spain,7,34
Quarter-Finals,France,4,32,USA,9,34
Quarter-Finals,Czech Republic,6,44,Australia,4,36
Class. Games 5-8,USA,6,24,Serbia,4,28
Class. Games 5-8,Czech Republic,15,40,Poland,0,36
Semi-Finals,Australia,5,44,Spain,7,36
Semi-Finals,France,2,26,Argentina,13,34
Class. Games 7-8,Poland,2,40,USA,8,30
Class. Games 5-6,Czech Republic,4,30,Serbia,9,40
3rd Place Game,Australia,0,36,France,5,26
Final,Spain,2,44,Argentina,18,30
